"year","supersector","employment_march","establishments","payroll_quarter1"
2001,"Agriculture and Mining",669041,50766,7349155000
2002,"Agriculture and Mining",646937,50423,7479672000
2003,"Agriculture and Mining",635223,49460,7216727000
2004,"Agriculture and Mining",652401,49370,7622480000
2005,"Agriculture and Mining",666016,48798,8453282000
2006,"Agriculture and Mining",719994,49799,10412620000
2007,"Agriculture and Mining",872992,49847,11167724000
2008,"Agriculture and Mining",796310,50091,13140881000
2009,"Agriculture and Mining",758482,48576,12512366000
2010,"Agriculture and Mining",737637,48783,12313021000
2011,"Agriculture and Mining",807724,49362,14678337000
2012,"Agriculture and Mining",888703,50955,17359261000
2013,"Agriculture and Mining",886682,50831,18019398000
2014,"Agriculture and Mining",915334,51598,19548965000
2015,"Agriculture and Mining",903804,51593,19577258000
2016,"Agriculture and Mining",747428,49828,15390976000
2017,"Agriculture and Mining",742144,49095,15178141000
2018,"Agriculture and Mining",769694,48986,17399165000
2019,"Agriculture and Mining",791307,47894,18496921000
2020,"Agriculture and Mining",745125,46655,17240117000
2021,"Agriculture and Mining",640565,46356,13993362000
2001,"Construction",6491994,698898,55410571000
2002,"Construction",6307370,710325,55646098000
2003,"Construction",6381404,732175,55594190000
2004,"Construction",6647641,760372,57765436000
2005,"Construction",6781327,787672,61585526000
2006,"Construction",7338799,802349,72508355000
2007,"Construction",7267883,811452,75653506000
2008,"Construction",7043631,773614,77094149000
2009,"Construction",5967128,712977,66883872000
2010,"Construction",5389271,682684,56851816000
2011,"Construction",5190921,657738,57171480000
2012,"Construction",5260942,652902,61164041000
2013,"Construction",5470181,658483,64499724000
2014,"Construction",5705146,667099,68900243000
2015,"Construction",6008286,682390,74048123000
2016,"Construction",6311264,696733,80778450000
2017,"Construction",6533061,715641,89671631000
2018,"Construction",6814979,733689,96544592000
2019,"Construction",7043901,745207,103046857000
2020,"Construction",7182071,753341,108658387000
2021,"Construction",7062022,780257,106671016000
2001,"Education and Health Services",17147156,742248,124709231000
2002,"Education and Health Services",17601823,777241,134150753000
2003,"Education and Health Services",18248798,792772,141202541000
2004,"Education and Health Services",18708158,810677,148360769000
2005,"Education and Health Services",18904521,827086,153421551000
2006,"Education and Health Services",19430875,845098,168119828000
2007,"Education and Health Services",19837032,871127,179405551000
2008,"Education and Health Services",20358553,879585,190268607000
2009,"Education and Health Services",20731695,888048,196247499000
2010,"Education and Health Services",21061386,902972,197953982000
2011,"Education and Health Services",21445159,910218,206911981000
2012,"Education and Health Services",21855389,929755,223938373000
2013,"Education and Health Services",22112180,941707,229187506000
2014,"Education and Health Services",22414402,954629,235931847000
2015,"Education and Health Services",22864034,978053,244524698000
2016,"Education and Health Services",23412983,993883,251103367000
2017,"Education and Health Services",23929979,1002808,272699674000
2018,"Education and Health Services",24229910,1014365,285371595000
2019,"Education and Health Services",24673611,1026718,298867621000
2020,"Education and Health Services",25048602,1038261,312125807000
2021,"Education and Health Services",24169621,1059113,312086008000
2001,"Financial Activities",8262073,732031,134657863000
2002,"Financial Activities",8431930,773446,131146276000
2003,"Financial Activities",8508444,794143,132068036000
2004,"Financial Activities",8567389,819339,146285475000
2005,"Financial Activities",8575914,847457,157192927000
2006,"Financial Activities",8863901,876457,176527246000
2007,"Financial Activities",8773043,888229,195034393000
2008,"Financial Activities",8707930,867569,203133228000
2009,"Financial Activities",8207830,839956,163159362000
2010,"Financial Activities",7875120,820821,165889767000
2011,"Financial Activities",7804242,809220,181157541000
2012,"Financial Activities",7920342,824286,185151255000
2013,"Financial Activities",8035866,829775,190035378000
2014,"Financial Activities",8100085,838027,210499677000
2015,"Financial Activities",8201341,847664,220797427000
2016,"Financial Activities",8448213,867485,220552068000
2017,"Financial Activities",8556174,884792,235376057000
2018,"Financial Activities",8708854,895567,253168305000
2019,"Financial Activities",8793314,901950,261711294000
2020,"Financial Activities",8962976,914495,275464629000
2021,"Financial Activities",8918911,935117,293413599000
2001,"Information",3754698,137293,56071358000
2002,"Information",3536120,138590,50772960000
2003,"Information",3599902,140027,53562342000
2004,"Information",3472427,139681,52778443000
2005,"Information",3402599,141290,51906545000
2006,"Information",3396246,141945,55803466000
2007,"Information",3399313,143779,58496770000
2008,"Information",3434234,141554,62059175000
2009,"Information",3288109,135726,59688942000
2010,"Information",3124036,135431,57791134000
2011,"Information",3121317,134452,61842037000
2012,"Information",3136025,135185,67972776000
2013,"Information",3266084,135627,71712456000
2014,"Information",3364530,138347,78779568000
2015,"Information",3394317,139508,82128481000
2016,"Information",3447950,146407,83917149000
2017,"Information",3507966,153934,95747490000
2018,"Information",3600900,157766,104379653000
2019,"Information",3572352,159260,110474208000
2020,"Information",3577460,160930,118795412000
2021,"Information",3414629,162006,129022914000
2001,"Leisure and Hospitality",11752663,654530,41064375000
2002,"Leisure and Hospitality",11849866,675524,41421609000
2003,"Leisure and Hospitality",12272636,689338,43387118000
2004,"Leisure and Hospitality",12638855,709849,45595311000
2005,"Leisure and Hospitality",12962393,725212,47342832000
2006,"Leisure and Hospitality",13354881,735302,51830213000
2007,"Leisure and Hospitality",13573431,757711,55494644000
2008,"Leisure and Hospitality",13995675,760865,58178399000
2009,"Leisure and Hospitality",13453632,758096,56254313000
2010,"Leisure and Hospitality",13315717,767111,55870493000
2011,"Leisure and Hospitality",13559414,772338,58018529000
2012,"Leisure and Hospitality",14042564,787839,62841930000
2013,"Leisure and Hospitality",14507387,800762,65360566000
2014,"Leisure and Hospitality",14962049,809135,68779024000
2015,"Leisure and Hospitality",15427714,821229,72652567000
2016,"Leisure and Hospitality",16015454,840738,77021345000
2017,"Leisure and Hospitality",16457139,869563,82441631000
2018,"Leisure and Hospitality",16780702,880256,87259998000
2019,"Leisure and Hospitality",16996790,893048,91788779000
2020,"Leisure and Hospitality",16881975,885753,95164568000
2021,"Leisure and Hospitality",14000996,902075,76097880000
2001,"Manufacturing",15950424,352619,156877325000
2002,"Manufacturing",14393609,344341,143570109000
2003,"Manufacturing",14132020,341849,141795799000
2004,"Manufacturing",13821976,339083,142981919000
2005,"Manufacturing",13667337,333460,144823337000
2006,"Manufacturing",13631683,331062,153695347000
2007,"Manufacturing",13320172,331355,155489443000
2008,"Manufacturing",13096159,326216,157184632000
2009,"Manufacturing",11632956,308934,138779079000
2010,"Manufacturing",10862838,299982,130316115000
2011,"Manufacturing",10984361,295643,138897715000
2012,"Manufacturing",11192043,297221,147982820000
2013,"Manufacturing",11276438,292094,151933005000
2014,"Manufacturing",11424251,292543,159627740000
2015,"Manufacturing",11605501,292825,163660498000
2016,"Manufacturing",11590420,291543,164366878000
2017,"Manufacturing",11721785,290936,172767676000
2018,"Manufacturing",11912665,290092,183074741000
2019,"Manufacturing",12109803,287626,190727611000
2020,"Manufacturing",11999822,283524,193642939000
2021,"Manufacturing",11710424,283015,191756884000
2001,"Other Services",5370479,719402,27698652000
2002,"Other Services",5420087,740118,28680591000
2003,"Other Services",5367166,731967,28475171000
2004,"Other Services",5416193,734506,29295449000
2005,"Other Services",5390954,740034,30134396000
2006,"Other Services",5458558,736440,32183737000
2007,"Other Services",5519773,744252,34093929000
2008,"Other Services",5452603,730694,34923879000
2009,"Other Services",5264429,722701,34036336000
2010,"Other Services",5204445,725488,33130733000
2011,"Other Services",5181801,722398,34101126000
2012,"Other Services",5256250,730999,36405447000
2013,"Other Services",5282688,734406,37136511000
2014,"Other Services",5347121,739945,38733260000
2015,"Other Services",5401233,746046,40139868000
2016,"Other Services",5499244,754229,41468357000
2017,"Other Services",5534978,764840,44075690000
2018,"Other Services",5595744,766761,45967415000
2019,"Other Services",5619240,769564,47859653000
2020,"Other Services",5601688,771330,49610402000
2021,"Other Services",5105104,781446,47026959000
2001,"Professional and Business Services",19097789,1146678,205230522000
2002,"Professional and Business Services",18259220,1165292,194840183000
2003,"Professional and Business Services",18730540,1176988,203675127000
2004,"Professional and Business Services",19102820,1209799,213736792000
2005,"Professional and Business Services",19826066,1243201,229542182000
2006,"Professional and Business Services",20973364,1273119,261067198000
2007,"Professional and Business Services",21285004,1302700,280819138000
2008,"Professional and Business Services",21144811,1293608,284641723000
2009,"Professional and Business Services",19754402,1277763,272692218000
2010,"Professional and Business Services",19632635,1284153,270536569000
2011,"Professional and Business Services",20241529,1281071,292831501000
2012,"Professional and Business Services",20919776,1298894,315452702000
2013,"Professional and Business Services",21559409,1315708,329404757000
2014,"Professional and Business Services",22434856,1334738,355094990000
2015,"Professional and Business Services",23219484,1354251,376634841000
2016,"Professional and Business Services",23808839,1368436,385387382000
2017,"Professional and Business Services",24265103,1390925,404246542000
2018,"Professional and Business Services",24928420,1395115,435107488000
2019,"Professional and Business Services",25449786,1404882,458841194000
2020,"Professional and Business Services",25843649,1426704,489006507000
2021,"Professional and Business Services",25525229,1462016,502437807000
2001,"Public Administration",1022114,14934,14273860000
2002,"Public Administration",1011496,13580,13781099000
2001,"Trade, Transportation, and Utilities",25437525,1767259,189018231000
2002,"Trade, Transportation, and Utilities",24909427,1776168,184649522000
2003,"Trade, Transportation, and Utilities",25475558,1769529,190466045000
2004,"Trade, Transportation, and Utilities",25992086,1773891,197322267000
2005,"Trade, Transportation, and Utilities",26108723,1781506,204675108000
2006,"Trade, Transportation, and Utilities",26719345,1782562,223064197000
2007,"Trade, Transportation, and Utilities",26742967,1794573,229254578000
2008,"Trade, Transportation, and Utilities",26858267,1764449,240410853000
2009,"Trade, Transportation, and Utilities",25431692,1723803,227243845000
2010,"Trade, Transportation, and Utilities",24745179,1708666,219521520000
2011,"Trade, Transportation, and Utilities",25071045,1704360,232894695000
2012,"Trade, Transportation, and Utilities",25458645,1716668,246379592000
2013,"Trade, Transportation, and Utilities",25857936,1716815,254044021000
2014,"Trade, Transportation, and Utilities",26383986,1720488,268381950000
2015,"Trade, Transportation, and Utilities",27036078,1730018,282014900000
2016,"Trade, Transportation, and Utilities",27447267,1730775,284297328000
2017,"Trade, Transportation, and Utilities",27332269,1730378,299733930000
2018,"Trade, Transportation, and Utilities",27525728,1717651,313164502000
2019,"Trade, Transportation, and Utilities",27924586,1711548,328248581000
2020,"Trade, Transportation, and Utilities",28302811,1705204,340754307000
2021,"Trade, Transportation, and Utilities",27783954,1726765,341413952000
2001,"Unclassified",105228,78644,431157000
2002,"Unclassified",32769,35722,132389000
2003,"Unclassified",46352,36497,163615000
2004,"Unclassified",54978,41157,204046000
2005,"Unclassified",31153,23986,113977000
2006,"Unclassified",29519,27027,122208000
2007,"Unclassified",12655,9993,61948000
2008,"Unclassified",15378,12924,61343000
2009,"Unclassified",0,16885,73328000
2010,"Unclassified",0,20537,68487000
2011,"Unclassified",0,17243,59506000
2012,"Unclassified",0,7104,31532000
2013,"Unclassified",0,12145,47564000
2014,"Unclassified",0,16535,83325000
2015,"Unclassified",24155,20361,109553000
2016,"Unclassified",23176,17750,116317000
2017,"Unclassified",11214,7762,69627000
2018,"Unclassified",13875,12157,78795000
2019,"Unclassified",14738,11406,86551000
2020,"Unclassified",17170,13981,106660000
2021,"Unclassified",14844,10440,116654000
