"year","cpi","cpi_factor"
1960,0.124780079066059,8.01409974640741
1961,0.126116129504072,7.92919988848621
1962,0.127627976052351,7.83527272727271
1963,0.129210141044735,7.73933061224491
1964,0.130862624481226,7.64160128962921
1965,0.132937018582352,7.52235916424226
1966,0.136945169896393,7.30219255455711
1967,0.140742365878116,7.10518111416436
1968,0.146754592849177,6.81409678965021
1969,0.154770895477258,6.46116310767834
1970,0.163806815544876,6.10475209272378
1971,0.170838659955474,5.85347602387324
1972,0.1764289762619,5.66800318852131
1973,0.187328335098326,5.33822072072073
1974,0.208037116887537,4.8068345445327
1975,0.227058256018204,4.40415608547538
1976,0.240102327399863,4.16489090642847
1977,0.25571302199139,3.91063385123058
1978,0.275226390230799,3.63337250894226
1979,0.306201664859483,3.26582156389941
1980,0.34768954688201,2.87612903225806
1981,0.383622271820165,2.60673082210613
1982,0.407143791373614,2.45613471502591
1983,0.420223021977326,2.37968875502008
1984,0.438294862112563,2.28156906786459
1985,0.453835238259984,2.20344282615432
1986,0.462449247662966,2.16239945259637
1987,0.479395992692507,2.08595819581958
1988,0.498944520153969,2.00423085053907
1989,0.523028587260267,1.91194138209196
1990,0.551261442568817,1.81402130237898
1991,0.574607166012002,1.74031940280242
1992,0.592010980928232,1.6891578572277
1993,0.609485114288567,1.64072916065763
1994,0.625377082656518,1.59903525046382
1995,0.64292153446096,1.55539975937876
1996,0.661766877481362,1.51110615237488
1997,0.677236935184677,1.4765881009241
1998,0.687749542578521,1.45401768825725
1999,0.7027976896172,1.42288458652259
2000,0.726530164502968,1.37640534262486
2001,0.747063150181914,1.33857492469879
2002,0.758911808013771,1.31767616400278
2003,0.776139826819736,1.28842763306908
2004,0.796918927053052,1.25483278919968
2005,0.823956368811801,1.21365649669298
2006,0.850536740683861,1.17572816336654
2007,0.874799768230408,1.14311872992703
2008,0.908384208727644,1.10085577269191
2009,0.905154482589856,1.10478379020868
2010,0.919999409325069,1.08695721960694
2011,0.949042333109721,1.05369377646549
2012,0.968681219771859,1.03233135895369
2013,0.982870778608004,1.01742774509611
2014,0.998815134216814,1.00118627135552
2015,1,1
2016,1.01261583205705,0.987541344251529
2017,1.03418566319434,0.966944365590266
2018,1.05944650946275,0.943889088376066
2019,1.07864590584923,0.92708830078272
2020,1.09195191343518,0.915791242907476
